municipio;a2008;a2009;a2010;a2011;a2012;a2013;a2014;a2015;a2016;a2017;a2018;a2019
410010 ABATIA;90;83;80;102;96;98;94;101;102;116;98;118
410020 ADRIANOPOLIS;96;94;71;71;74;73;69;80;70;98;71;64
410030 AGUDOS DO SUL;103;106;110;103;110;114;113;109;113;113;151;113
410040 ALMIRANTE TAMANDARE;1833;1777;1846;1871;1886;1923;1914;2027;1811;1786;1724;1665
410045 ALTAMIRA DO PARANA;55;52;61;59;51;54;55;60;54;71;42;49
410050 ALTONIA;292;246;261;262;239;295;256;268;266;245;285;229
410060 ALTO PARANA;155;162;196;188;160;181;185;202;174;178;214;156
410070 ALTO PIQUIRI;132;125;157;133;128;134;149;126;142;133;145;133
410080 ALVORADA DO SUL;111;83;99;92;98;83;119;103;105;111;110;114
410090 AMAPORA;86;84;107;85;75;71;85;79;87;82;60;94
410100 AMPERE;207;235;232;221;249;250;279;242;256;266;290;286
410105 ANAHY;42;35;43;28;28;33;27;31;42;29;33;26
410110 ANDIRA;303;272;271;246;261;239;216;248;259;246;235;239
410115 ANGULO;34;33;32;37;35;46;49;52;42;41;39;48
410120 ANTONINA;299;241;290;225;202;316;303;259;252;279;245;235
410130 ANTONIO OLINTO;78;79;70;77;62;76;66;72;91;75;62;64
410140 APUCARANA;1661;1726;1658;1671;1664;1708;1804;1796;1697;1786;1710;1712
410150 ARAPONGAS;1393;1454;1500;1486;1533;1660;1656;1628;1563;1589;1593;1509
410160 ARAPOTI;402;419;421;380;392;369;357;355;359;396;382;358
410165 ARAPUA;51;47;57;47;34;43;34;40;62;51;43;36
410170 ARARUNA;172;158;165;163;179;175;194;198;206;190;188;202
410180 ARAUCARIA;1918;2010;2089;2249;2285;2336;2465;2460;2255;2358;2207;2262
410185 ARIRANHA DO IVAI;37;34;43;31;36;36;32;40;31;44;33;34
410190 ASSAI;214;238;229;221;227;213;250;231;206;192;197;141
410200 ASSIS CHATEAUBRIAND;374;397;389;418;398;371;397;422;445;470;462;477
410210 ASTORGA;356;299;321;349;348;348;321;354;328;315;354;349
410220 ATALAIA;36;38;40;46;30;48;40;43;43;51;47;53
410230 BALSA NOVA;158;159;175;181;201;197;186;216;191;237;206;170
