UF,Nome_UF,Mesorregiao Geografica,Nome_Mesorregiao,Microrregiao Geografica,Nome_Microrregiao,Municipio,city_ibge_code,Nome_Municipio,city,Residents,RS,M,CODMUNRES
41,Paraná,04,Norte Pioneiro Paranaense,015,Cornélio Procópio,00103,4100103,Abatiá,abatiá,7764,18,norte,410010
41,Paraná,10,Metropolitana de Curitiba,035,Cerro Azul,00202,4100202,Adrianópolis,adrianópolis,6376,2,leste,410020
41,Paraná,10,Metropolitana de Curitiba,039,Rio Negro,00301,4100301,Agudos do Sul,agudos do sul,8270,2,leste,410030
41,Paraná,10,Metropolitana de Curitiba,037,Curitiba,00400,4100400,Almirante Tamandaré,almirante tamandaré,103204,2,leste,410040
41,Paraná,02,Centro Ocidental Paranaense,004,Goioerê,00459,4100459,Altamira do Paraná,altamira do paraná,4306,11,noroeste,410045
41,Paraná,01,Noroeste Paranaense,002,Umuarama,28625,4128625,Alto Paraíso,alto paraíso,3206,12,noroeste,412862
41,Paraná,01,Noroeste Paranaense,001,Paranavaí,00608,4100608,Alto Paraná,alto paraná,13663,14,noroeste,410060
41,Paraná,01,Noroeste Paranaense,002,Umuarama,00707,4100707,Alto Piquiri,alto piquiri,10179,12,noroeste,410070
41,Paraná,01,Noroeste Paranaense,002,Umuarama,00509,4100509,Altônia,altônia,20516,12,noroeste,410050
41,Paraná,03,Norte Central Paranaense,007,Porecatu,00806,4100806,Alvorada do Sul,alvorada do sul,10283,17,norte,410080
41,Paraná,01,Noroeste Paranaense,001,Paranavaí,00905,4100905,Amaporã,amaporã,5443,14,noroeste,410090
41,Paraná,07,Sudoeste Paranaense,025,Capanema,01002,4101002,Ampére,ampére,17308,8,oeste,410100
41,Paraná,06,Oeste Paranaense,023,Cascavel,01051,4101051,Anahy,anahy,2874,10,oeste,410105
41,Paraná,04,Norte Pioneiro Paranaense,015,Cornélio Procópio,01101,4101101,Andirá,andirá,20610,18,norte,410110
41,Paraná,03,Norte Central Paranaense,006,Astorga,01150,4101150,Ângulo,ângulo,2859,15,noroeste,410115
41,Paraná,10,Metropolitana de Curitiba,038,Paranaguá,01200,4101200,Antonina,antonina,18891,1,leste,410120
41,Paraná,09,Sudeste Paranaense,034,São Mateus do Sul,01309,4101309,Antônio Olinto,antônio olinto,7351,6,leste,410130
41,Paraná,03,Norte Central Paranaense,010,Apucarana,01408,4101408,Apucarana,apucarana,120919,16,norte,410140
41,Paraná,03,Norte Central Paranaense,010,Apucarana,01507,4101507,Arapongas,arapongas,104150,16,norte,410150
41,Paraná,05,Centro Oriental Paranaense,020,Jaguariaíva,01606,4101606,Arapoti,arapoti,25855,3,leste,410160
41,Paraná,03,Norte Central Paranaense,013,Ivaiporã,01655,4101655,Arapuã,arapuã,3561,22,norte,410165
41,Paraná,02,Centro Ocidental Paranaense,005,Campo Mourão,01705,4101705,Araruna,araruna,13419,11,noroeste,410170
41,Paraná,10,Metropolitana de Curitiba,037,Curitiba,01804,4101804,Araucária,araucária,119123,2,leste,410180
41,Paraná,03,Norte Central Paranaense,013,Ivaiporã,01853,4101853,Ariranha do Ivaí,ariranha do ivaí,2453,22,norte,410185
41,Paraná,04,Norte Pioneiro Paranaense,014,Assaí,01903,4101903,Assaí,assaí,16354,17,norte,410190
41,Paraná,06,Oeste Paranaense,022,Toledo,02000,4102000,Assis Chateaubriand,assis chateaubriand,33025,20,oeste,410200
41,Paraná,03,Norte Central Paranaense,006,Astorga,02109,4102109,Astorga,astorga,24698,15,noroeste,410210
41,Paraná,03,Norte Central Paranaense,006,Astorga,02208,4102208,Atalaia,atalaia,3913,15,noroeste,410220
41,Paraná,10,Metropolitana de Curitiba,037,Curitiba,02307,4102307,Balsa Nova,balsa nova,11300,2,leste,410230
41,Paraná,04,Norte Pioneiro Paranaense,015,Cornélio Procópio,02406,4102406,Bandeirantes,bandeirantes,32184,18,norte,410240
41,Paraná,02,Centro Ocidental Paranaense,005,Campo Mourão,02505,4102505,Barbosa Ferraz,barbosa ferraz,12656,11,noroeste,410250
41,Paraná,04,Norte Pioneiro Paranaense,016,Jacarezinho,02703,4102703,Barra do Jacaré,barra do jacaré,2727,19,norte,410270
41,Paraná,07,Sudoeste Paranaense,026,Francisco Beltrão,02604,4102604,Barracão,barracão,9735,8,oeste,410260
41,Paraná,07,Sudoeste Paranaense,025,Capanema,02752,4102752,Bela Vista da Caroba,bela vista da caroba,3945,8,oeste,410275
41,Paraná,03,Norte Central Paranaense,007,Porecatu,02802,4102802,Bela Vista do Paraíso,bela vista do paraíso,15079,17,norte,410280
41,Paraná,09,Sudeste Paranaense,033,União da Vitória,02901,4102901,Bituruna,bituruna,15880,6,leste,410290
41,Paraná,02,Centro Ocidental Paranaense,004,Goioerê,03008,4103008,Boa Esperança,boa esperança,4568,11,noroeste,410300
41,Paraná,07,Sudoeste Paranaense,026,Francisco Beltrão,03024,4103024,Boa Esperança do Iguaçu,boa esperança do iguaçu,2764,8,oeste,410302
41,Paraná,08,Centro-Sul Paranaense,028,Pitanga,03040,4103040,Boa Ventura de São Roque,boa ventura de são roque,6554,5,leste,410304
41,Paraná,06,Oeste Paranaense,023,Cascavel,03057,4103057,Boa Vista da Aparecida,boa vista da aparecida,7911,10,oeste,410305
41,Paraná,10,Metropolitana de Curitiba,037,Curitiba,03107,4103107,Bocaiúva do Sul,bocaiúva do sul,10987,2,leste,410310
41,Paraná,07,Sudoeste Paranaense,026,Francisco Beltrão,03156,4103156,Bom Jesus do Sul,bom jesus do sul,3796,8,oeste,410315
41,Paraná,03,Norte Central Paranaense,012,Faxinal,03206,4103206,Bom Sucesso,bom sucesso,6561,16,norte,410320
41,Paraná,07,Sudoeste Paranaense,027,Pato Branco,03222,4103222,Bom Sucesso do Sul,bom sucesso do sul,3293,7,oeste,410322
41,Paraná,03,Norte Central Paranaense,012,Faxinal,03305,4103305,Borrazópolis,borrazópolis,7878,16,norte,410330
41,Paraná,06,Oeste Paranaense,023,Cascavel,03354,4103354,Braganey,braganey,5735,10,oeste,410335
41,Paraná,01,Noroeste Paranaense,002,Umuarama,03370,4103370,Brasilândia do Sul,brasilândia do sul,3209,12,noroeste,410337
41,Paraná,03,Norte Central Paranaense,006,Astorga,03404,4103404,Cafeara,cafeara,2695,17,norte,410340
41,Paraná,06,Oeste Paranaense,023,Cascavel,03453,4103453,Cafelândia,cafelândia,14662,10,oeste,410345
41,Paraná,01,Noroeste Paranaense,002,Umuarama,03479,4103479,Cafezal do Sul,cafezal do sul,4290,12,noroeste,410347
41,Paraná,03,Norte Central Paranaense,010,Apucarana,03503,4103503,Califórnia,califórnia,8069,16,norte,410350
41,Paraná,04,Norte Pioneiro Paranaense,016,Jacarezinho,03602,4103602,Cambará,cambará,23886,19,norte,410360
41,Paraná,03,Norte Central Paranaense,011,Londrina,03701,4103701,Cambé,cambé,96733,17,norte,410370
41,Paraná,03,Norte Central Paranaense,010,Apucarana,03800,4103800,Cambira,cambira,7236,16,norte,410380
